id,default_code,name,product_material_category_id:id,product_material_id:id,product_detailed_shape_id:id,product_basic_shape_id:id,product_alloy_id:id,product_stiffness_id:id,product_origin:id,is_published,price_method_type,list_price,categ_id:id,standard_price
product_template_07,DBTRBeCu25NHATH1,"Đồng hợp kim Beryllium thanh tròn, BeCu25 - H",oristar_product.product_material_category_00,oristar_product.product_material_00,oristar_product.product_detailed_shape_01,oristar_product.product_basic_shape_02,oristar_product.product_alloy_03,oristar_product.product_stiffness_16,base.jp,True,dong_bery_thanh,20000,oristar_product.product_category_bery_copper,17000
product_template_08,DBTRC1720NHATH1,"Đồng hợp kim Beryllium thanh tròn, C1720 - H",oristar_product.product_material_category_00,oristar_product.product_material_00,oristar_product.product_detailed_shape_01,oristar_product.product_basic_shape_02,oristar_product.product_alloy_00,oristar_product.product_stiffness_02,base.jp,True,dong_hop_kim_thanh,20000,oristar_product.product_category_bery_copper,17000
product_template_09,DBTRC1720NHATHT,"Đồng hợp kim Beryllium thanh tròn, C1720 - HT",oristar_product.product_material_category_00,oristar_product.product_material_00,oristar_product.product_detailed_shape_01,oristar_product.product_basic_shape_02,oristar_product.product_alloy_00,oristar_product.product_stiffness_02,base.jp,True,dong_hop_kim_thanh,20000,oristar_product.product_category_bery_copper,17000
product_template_10,DBTRMoldmaxMYHH,"Đồng hợp kim Beryllium thanh tròn, Moldmax - HH",oristar_product.product_material_category_00,oristar_product.product_material_00,oristar_product.product_detailed_shape_01,oristar_product.product_basic_shape_02,oristar_product.product_alloy_01,oristar_product.product_stiffness_06,base.us,True,dong_hop_kim_thanh,22000,oristar_product.product_category_bery_copper,19000
product_template_12,DCDC1100DLH1,"Đồng tinh chế cuộn, C1100 - H",oristar_product.product_material_category_00,oristar_product.product_material_01,,oristar_product.product_basic_shape_00,oristar_product.product_alloy_04,oristar_product.product_stiffness_22,base.tw,True,dong_hop_kim_tam_day,30000,oristar_product.product_category_refined_copper,26500
product_template_53,DTALDC1100DLH0,"Đồng tinh chế tấm lá, C1100 - 0",oristar_product.product_material_category_00,oristar_product.product_material_01,,oristar_product.product_basic_shape_01,oristar_product.product_alloy_04,oristar_product.product_stiffness_25,base.tw,True,dong_tam_day,20000,oristar_product.product_category_refined_copper,17000
product_template_123,NHCA1050TQH14,"Nhôm không hợp kim cuộn, A1050 - H14",oristar_product.product_material_category_01,oristar_product.product_material_05,,oristar_product.product_basic_shape_00,oristar_product.product_alloy_38,oristar_product.product_stiffness_145,base.cn,True,nhom_hop_kim_cuon,20000,oristar_product.product_category_non_alloy_aluminum,17000
product_template_125,NHCA1050TQH24,"Nhôm không hợp kim cuộn, A1050 - H24",oristar_product.product_material_category_01,oristar_product.product_material_05,,oristar_product.product_basic_shape_00,oristar_product.product_alloy_38,oristar_product.product_stiffness_148,base.cn,True,nhom_khong_hop_kim_cuon,30000,oristar_product.product_category_non_alloy_aluminum,26500
product_template_127,NHTAA1050HQH16,"Nhôm không hợp kim tấm, A1050 - H16",oristar_product.product_material_category_01,oristar_product.product_material_05,,oristar_product.product_basic_shape_01,oristar_product.product_alloy_38,oristar_product.product_stiffness_146,base.kr,True,nhom_hop_kim_mong,30000,oristar_product.product_category_non_alloy_aluminum,26500
product_template_129,NHTAA1050NHATH24,"Nhôm không hợp kim tấm, A1050 - H24",oristar_product.product_material_category_01,oristar_product.product_material_05,,oristar_product.product_basic_shape_01,oristar_product.product_alloy_38,oristar_product.product_stiffness_148,base.jp,True,nhom_hop_kim_day,50000,oristar_product.product_category_non_alloy_aluminum,42500
product_template_170,NTATA7075ruT651,"Nhôm hợp kim thanh, A7075 - T651",oristar_product.product_material_category_01,oristar_product.product_material_04,,oristar_product.product_basic_shape_01,oristar_product.product_alloy_36,oristar_product.product_stiffness_143,base.ru,True,nhom_thanh,35000,oristar_product.product_category_alloy_aluminum,31000
product_template_184,NTRA6061DLT6,"Nhôm hợp kim thanh tròn, A6061 - T6",oristar_product.product_material_category_01,oristar_product.product_material_04,oristar_product.product_detailed_shape_01,oristar_product.product_basic_shape_02,oristar_product.product_alloy_32,oristar_product.product_stiffness_133,base.tw,True,nhom_thanh,20000,oristar_product.product_category_alloy_aluminum,17000
product_template_185,NTRA6061HQT6,"Nhôm hợp kim thanh tròn, A6061 - T6",oristar_product.product_material_category_01,oristar_product.product_material_04,oristar_product.product_detailed_shape_01,oristar_product.product_basic_shape_02,oristar_product.product_alloy_32,oristar_product.product_stiffness_133,base.kr,True,nhom_thanh,20000,oristar_product.product_category_alloy_aluminum,17000
product_template_187,NTRA6061NHATT6,"Nhôm hợp kim thanh tròn, (61S) A6061 - T6",oristar_product.product_material_category_01,oristar_product.product_material_04,oristar_product.product_detailed_shape_01,oristar_product.product_basic_shape_02,oristar_product.product_alloy_32,oristar_product.product_stiffness_133,base.jp,True,nhom_thanh,20000,oristar_product.product_category_alloy_aluminum,17000
product_template_188,NTRA6061TQT6,"Nhôm hợp kim thanh tròn, A6061 - T6",oristar_product.product_material_category_01,oristar_product.product_material_04,oristar_product.product_detailed_shape_01,oristar_product.product_basic_shape_02,oristar_product.product_alloy_32,oristar_product.product_stiffness_133,base.cn,True,nhom_thanh,20000,oristar_product.product_category_alloy_aluminum,17000
product_template_189,NTRA7075DLT6,"Nhôm hợp kim thanh tròn, A7075 - T6",oristar_product.product_material_category_01,oristar_product.product_material_04,oristar_product.product_detailed_shape_01,oristar_product.product_basic_shape_02,oristar_product.product_alloy_36,oristar_product.product_stiffness_142,base.tw,True,nhom_thanh,65000,oristar_product.product_category_alloy_aluminum,57500
product_template_192,THCSUS301CSPDLH2,"Thép không gỉ cuộn, SUS 301 CSP - 1/2H",oristar_product.product_material_category_02,oristar_product.product_material_07,,oristar_product.product_basic_shape_00,oristar_product.product_alloy_44,oristar_product.product_stiffness_157,base.tw,True,thep_la_cuon,20000,oristar_product.product_category_stainless_steel,17000
product_template_246,THTRSUS303DL,"Thép không gỉ thanh tròn, SUS 303",oristar_product.product_material_category_02,oristar_product.product_material_07,oristar_product.product_detailed_shape_01,oristar_product.product_basic_shape_02,oristar_product.product_alloy_45,oristar_product.product_stiffness_163,base.tw,True,thep_thanh,45000,oristar_product.product_category_stainless_steel,36500
