id,state_id:id,name,code
district_vn_001,base.state_vn_VN-HN,"Quận Ba Đình",001
district_vn_002,base.state_vn_VN-HN,"Quận Hoàn Kiếm",002
district_vn_003,base.state_vn_VN-HN,"Quận Tây Hồ",003
district_vn_004,base.state_vn_VN-HN,"Quận Long Biên",004
district_vn_005,base.state_vn_VN-HN,"Quận Cầu Giấy",005
district_vn_006,base.state_vn_VN-HN,"Quận Đống Đa",006
district_vn_007,base.state_vn_VN-HN,"Quận Hai Bà Trưng",007
district_vn_008,base.state_vn_VN-HN,"Quận Hoàng Mai",008
district_vn_009,base.state_vn_VN-HN,"Quận Thanh Xuân",009
district_vn_016,base.state_vn_VN-HN,"Huyện Sóc Sơn",016
district_vn_017,base.state_vn_VN-HN,"Huyện Đông Anh",017
district_vn_018,base.state_vn_VN-HN,"Huyện Gia Lâm",018
district_vn_019,base.state_vn_VN-HN,"Quận Nam Từ Liêm",019
district_vn_020,base.state_vn_VN-HN,"Huyện Thanh Trì",020
district_vn_021,base.state_vn_VN-HN,"Quận Bắc Từ Liêm",021
district_vn_250,base.state_vn_VN-HN,"Huyện Mê Linh",250
district_vn_268,base.state_vn_VN-HN,"Quận Hà Đông",268
district_vn_269,base.state_vn_VN-HN,"Thị xã Sơn Tây",269
district_vn_271,base.state_vn_VN-HN,"Huyện Ba Vì",271
district_vn_272,base.state_vn_VN-HN,"Huyện Phúc Thọ",272
district_vn_273,base.state_vn_VN-HN,"Huyện Đan Phượng",273
district_vn_274,base.state_vn_VN-HN,"Huyện Hoài Đức",274
district_vn_275,base.state_vn_VN-HN,"Huyện Quốc Oai",275
district_vn_276,base.state_vn_VN-HN,"Huyện Thạch Thất",276
district_vn_277,base.state_vn_VN-HN,"Huyện Chương Mỹ",277
district_vn_278,base.state_vn_VN-HN,"Huyện Thanh Oai",278
district_vn_279,base.state_vn_VN-HN,"Huyện Thường Tín",279
district_vn_280,base.state_vn_VN-HN,"Huyện Phú Xuyên",280
district_vn_281,base.state_vn_VN-HN,"Huyện Ứng Hòa",281
district_vn_282,base.state_vn_VN-HN,"Huyện Mỹ Đức",282
district_vn_024,base.state_vn_VN-03,"Thành phố Hà Giang",024
district_vn_026,base.state_vn_VN-03,"Huyện Đồng Văn",026
district_vn_027,base.state_vn_VN-03,"Huyện Mèo Vạc",027
district_vn_028,base.state_vn_VN-03,"Huyện Yên Minh",028
district_vn_029,base.state_vn_VN-03,"Huyện Quản Bạ",029
district_vn_030,base.state_vn_VN-03,"Huyện Vị Xuyên",030
district_vn_031,base.state_vn_VN-03,"Huyện Bắc Mê",031
district_vn_032,base.state_vn_VN-03,"Huyện Hoàng Su Phì",032
district_vn_033,base.state_vn_VN-03,"Huyện Xín Mần",033
district_vn_034,base.state_vn_VN-03,"Huyện Bắc Quang",034
district_vn_035,base.state_vn_VN-03,"Huyện Quang Bình",035
district_vn_040,base.state_vn_VN-04,"Thành phố Cao Bằng",040
district_vn_042,base.state_vn_VN-04,"Huyện Bảo Lâm",042
district_vn_043,base.state_vn_VN-04,"Huyện Bảo Lạc",043
district_vn_045,base.state_vn_VN-04,"Huyện Hà Quảng",045
district_vn_047,base.state_vn_VN-04,"Huyện Trùng Khánh",047
district_vn_048,base.state_vn_VN-04,"Huyện Hạ Lang",048
district_vn_049,base.state_vn_VN-04,"Huyện Quảng Hòa",049
district_vn_051,base.state_vn_VN-04,"Huyện Hoà An",051
district_vn_052,base.state_vn_VN-04,"Huyện Nguyên Bình",052
district_vn_053,base.state_vn_VN-04,"Huyện Thạch An",053
district_vn_058,base.state_vn_VN-53,"Thành Phố Bắc Kạn",058
district_vn_060,base.state_vn_VN-53,"Huyện Pác Nặm",060
district_vn_061,base.state_vn_VN-53,"Huyện Ba Bể",061
district_vn_062,base.state_vn_VN-53,"Huyện Ngân Sơn",062
district_vn_063,base.state_vn_VN-53,"Huyện Bạch Thông",063
district_vn_064,base.state_vn_VN-53,"Huyện Chợ Đồn",064
district_vn_065,base.state_vn_VN-53,"Huyện Chợ Mới",065
district_vn_066,base.state_vn_VN-53,"Huyện Na Rì",066
district_vn_070,base.state_vn_VN-07,"Thành phố Tuyên Quang",070
district_vn_071,base.state_vn_VN-07,"Huyện Lâm Bình",071
district_vn_072,base.state_vn_VN-07,"Huyện Na Hang",072
district_vn_073,base.state_vn_VN-07,"Huyện Chiêm Hóa",073
district_vn_074,base.state_vn_VN-07,"Huyện Hàm Yên",074
district_vn_075,base.state_vn_VN-07,"Huyện Yên Sơn",075
district_vn_076,base.state_vn_VN-07,"Huyện Sơn Dương",076
district_vn_080,base.state_vn_VN-02,"Thành phố Lào Cai",080
district_vn_082,base.state_vn_VN-02,"Huyện Bát Xát",082
district_vn_083,base.state_vn_VN-02,"Huyện Mường Khương",083
district_vn_084,base.state_vn_VN-02,"Huyện Si Ma Cai",084
district_vn_085,base.state_vn_VN-02,"Huyện Bắc Hà",085
district_vn_086,base.state_vn_VN-02,"Huyện Bảo Thắng",086
district_vn_087,base.state_vn_VN-02,"Huyện Bảo Yên",087
district_vn_088,base.state_vn_VN-02,"Thị xã Sa Pa",088
district_vn_089,base.state_vn_VN-02,"Huyện Văn Bàn",089
district_vn_094,base.state_vn_VN-71,"Thành phố Điện Biên Phủ",094
district_vn_095,base.state_vn_VN-71,"Thị Xã Mường Lay",095
district_vn_096,base.state_vn_VN-71,"Huyện Mường Nhé",096
district_vn_097,base.state_vn_VN-71,"Huyện Mường Chà",097
district_vn_098,base.state_vn_VN-71,"Huyện Tủa Chùa",098
district_vn_099,base.state_vn_VN-71,"Huyện Tuần Giáo",099
district_vn_100,base.state_vn_VN-71,"Huyện Điện Biên",100
district_vn_101,base.state_vn_VN-71,"Huyện Điện Biên Đông",101
district_vn_102,base.state_vn_VN-71,"Huyện Mường Ảng",102
district_vn_103,base.state_vn_VN-71,"Huyện Nậm Pồ",103
district_vn_105,base.state_vn_VN-01,"Thành phố Lai Châu",105
district_vn_106,base.state_vn_VN-01,"Huyện Tam Đường",106
district_vn_107,base.state_vn_VN-01,"Huyện Mường Tè",107
district_vn_108,base.state_vn_VN-01,"Huyện Sìn Hồ",108
district_vn_109,base.state_vn_VN-01,"Huyện Phong Thổ",109
district_vn_110,base.state_vn_VN-01,"Huyện Than Uyên",110
district_vn_111,base.state_vn_VN-01,"Huyện Tân Uyên",111
district_vn_112,base.state_vn_VN-01,"Huyện Nậm Nhùn",112
district_vn_116,base.state_vn_VN-05,"Thành phố Sơn La",116
district_vn_118,base.state_vn_VN-05,"Huyện Quỳnh Nhai",118
district_vn_119,base.state_vn_VN-05,"Huyện Thuận Châu",119
district_vn_120,base.state_vn_VN-05,"Huyện Mường La",120
district_vn_121,base.state_vn_VN-05,"Huyện Bắc Yên",121
district_vn_122,base.state_vn_VN-05,"Huyện Phù Yên",122
district_vn_123,base.state_vn_VN-05,"Huyện Mộc Châu",123
district_vn_124,base.state_vn_VN-05,"Huyện Yên Châu",124
district_vn_125,base.state_vn_VN-05,"Huyện Mai Sơn",125
district_vn_126,base.state_vn_VN-05,"Huyện Sông Mã",126
district_vn_127,base.state_vn_VN-05,"Huyện Sốp Cộp",127
district_vn_128,base.state_vn_VN-05,"Huyện Vân Hồ",128
district_vn_132,base.state_vn_VN-06,"Thành phố Yên Bái",132
district_vn_133,base.state_vn_VN-06,"Thị xã Nghĩa Lộ",133
